Step,Type,Amount,oldBal,newBal,oldBalDest,newBalDest,isFlaggedFraud,Payment Method,Status,DeviceType,Browser,Geolocation,Hour,Day,Month,IsBusinessHours,NormalizedAmount,AmountPercentage,OriginBalanceChange,DestBalanceChange,IsCommonDevice,IsCommonBrowser
8,2,4203.86,6266.39,2062.5300000000007,5932.83,10136.69,0,3,0,0,1,1,17,20,3,1,0.670751301578488,67.07513015784879,-4203.86,4203.860000000001,1,1
12,1,713.82,1315.08,601.2599999999999,17827.58,17113.760000000002,0,2,1,2,1,3,0,24,3,0,0.5423834417360648,54.23834417360648,-713.82,-713.8199999999997,1,1
22,2,3920.88,5184.65,1263.7699999999995,2487.26,6408.14,0,0,0,1,3,4,18,16,6,0,0.7561019351479564,75.61019351479564,-3920.88,3920.88,1,1
4,5,6775.22,13496.31,6721.089999999999,2594.23,9369.45,0,3,0,0,2,3,19,29,6,0,0.501968169953865,50.1968169953865,-6775.22,6775.220000000001,1,1
15,3,7550.04,2723.77,10273.81,19671.89,27221.93,0,1,2,2,2,4,12,8,5,1,2.770890754081996,277.0890754081996,7550.039999999999,7550.040000000001,1,1
1,5,6614.66,13430.0,6815.34,2544.97,9159.63,0,2,0,2,1,1,4,20,3,0,0.4924919961283597,49.24919961283597,-6614.66,6614.66,1,1
15,1,2980.61,5335.61,2354.9999999999995,11225.16,8244.55,0,1,1,2,2,3,21,11,6,0,0.558521233517158,55.8521233517158,-2980.61,-2980.6100000000006,1,1
8,4,1654.27,14492.54,12838.27,3941.63,5595.9,0,2,0,0,1,1,19,19,3,0,0.1141384368484166,11.41384368484166,-1654.2700000000004,1654.2699999999995,1,1
24,4,1379.99,14638.66,13258.67,10779.95,12159.94,0,1,0,2,2,3,19,30,6,0,0.094263801208498,9.4263801208498,-1379.9899999999998,1379.9899999999998,1,1
11,3,6648.57,5016.39,11664.96,13184.36,19832.93,0,0,0,2,3,3,23,30,4,0,1.325105283822864,132.5105283822864,6648.569999999999,6648.57,1,1
15,1,9049.65,1423.24,-7626.41,7725.6,-1324.0499999999993,0,2,2,1,0,2,22,7,1,0,6.354020389821939,635.402038982194,-9049.65,-9049.65,1,0
5,1,6688.13,995.78,-5692.35,7602.25,914.12,0,0,2,2,1,2,17,4,6,1,6.709735347819981,670.9735347819981,-6688.13,-6688.13,1,1
4,5,3531.23,11440.06,7908.83,9722.56,13253.79,0,1,2,0,3,4,0,19,3,0,0.3086453527907379,30.864535279073795,-3531.23,3531.2300000000014,1,1
19,2,5323.67,13066.29,7742.620000000001,2654.4,7978.07,0,2,2,0,3,3,10,22,6,1,0.4074042896423053,40.74042896423053,-5323.67,5323.67,1,1
20,2,6302.32,8780.5,2478.1800000000003,17913.1,24215.42,0,2,2,2,2,0,5,6,7,0,0.7176814894949609,71.7681489494961,-6302.32,6302.32,1,1
29,3,7142.11,5842.78,12984.89,8480.24,15622.35,0,3,0,1,2,3,5,11,1,0,1.2221729770799037,122.21729770799035,7142.11,7142.110000000001,1,1
6,5,5886.18,2777.98,-3108.2000000000003,12909.39,18795.57,0,1,1,1,3,4,16,16,1,1,2.1181080828217547,211.81080828217543,-5886.18,5886.18,1,1
22,5,1607.82,17104.44,15496.62,19467.64,21075.46,0,0,0,1,0,3,12,29,3,1,0.0939946590090637,9.399465900906378,-1607.819999999998,1607.8199999999997,1,0
1,2,1392.86,9159.73,7766.87,1153.11,2545.97,0,1,0,1,0,3,9,13,3,1,0.1520468346954882,15.204683469548824,-1392.8599999999997,1392.86,1,0
29,1,4895.3,5231.42,336.1199999999999,10696.46,5801.159999999999,0,2,1,2,0,2,5,27,2,0,0.9355709212945444,93.55709212945445,-4895.3,-4895.3,1,0
10,2,8205.11,8712.84,507.7299999999996,7984.28,16189.39,0,2,1,0,0,4,21,13,1,0,0.941618161453504,94.1618161453504,-8205.11,8205.11,1,0
29,3,3537.8,11122.6,14660.4,9167.92,12705.72,0,3,2,1,3,0,19,16,4,0,0.3180445179618109,31.80445179618109,3537.7999999999997,3537.7999999999997,1,1
27,3,8670.52,2444.08,11114.6,9621.43,18291.95,0,3,1,0,2,3,23,14,3,0,3.5461089207715086,354.6108920771509,8670.52,8670.52,1,1
29,5,3391.78,12646.37,9254.59,16261.46,19653.24,0,0,2,0,3,1,9,30,6,1,0.2681806573224314,26.818065732243145,-3391.7800000000007,3391.7800000000025,1,1
25,4,9250.54,17077.9,7827.360000000001,8303.9,17554.440000000002,0,1,1,0,2,0,7,20,5,0,0.541635585429975,54.16355854299751,-9250.54,9250.540000000005,1,1
25,1,3460.24,19072.75,15612.51,15631.93,12171.69,0,2,0,0,3,2,18,25,3,0,0.1814137230486925,18.141372304869257,-3460.24,-3460.24,1,1
9,2,4779.23,8853.28,4074.050000000001,17325.23,22104.46,0,1,2,2,1,2,22,3,7,0,0.5397649498321715,53.97649498321715,-4779.23,4779.23,1,1
8,4,945.98,6235.7,5289.719999999999,15439.79,16385.77,0,1,2,2,2,3,3,26,4,0,0.1516795741337566,15.167957413375662,-945.9800000000004,945.9799999999996,1,1
26,4,6052.39,16132.73,10080.34,3321.51,9373.9,0,3,0,0,1,2,18,28,2,0,0.3751389170390232,37.51389170390232,-6052.389999999999,6052.389999999999,1,1
22,4,3081.52,15456.46,12374.94,11838.19,14919.71,0,1,2,1,0,0,4,20,4,0,0.1993548746042364,19.93548746042364,-3081.5199999999986,3081.5199999999986,1,0
7,2,667.03,8362.16,7695.13,11188.05,11855.08,0,1,2,0,2,0,14,21,1,1,0.0797581297021699,7.975812970216999,-667.0299999999997,667.0300000000007,1,1
10,2,8337.65,13386.02,5048.370000000001,2106.29,10443.94,0,2,2,2,3,2,6,3,5,0,0.6228159814506887,62.28159814506887,-8337.65,8337.650000000001,1,1
13,2,3094.88,8348.58,5253.7,7082.67,10177.55,0,2,1,2,0,2,9,10,5,1,0.3706629555019534,37.066295550195335,-3094.88,3094.879999999999,1,0
21,4,3751.83,5512.29,1760.46,7326.49,11078.32,0,3,2,1,2,1,16,5,5,1,0.6805065577903575,68.05065577903575,-3751.83,3751.83,1,1
22,2,741.96,14076.44,13334.48,1009.04,1751.0,0,3,2,0,1,3,6,17,6,0,0.0527056055646481,5.270560556464812,-741.960000000001,741.96,1,1
11,4,1857.4,15089.35,13231.95,1000.58,2857.98,0,3,1,0,0,4,15,1,4,1,0.1230852829788573,12.308528297885736,-1857.4,1857.4,1,0
20,3,7140.27,1347.48,8487.75,11689.44,18829.71,0,3,0,1,2,3,12,23,3,1,5.295050723777884,529.5050723777883,7140.27,7140.269999999999,1,1
3,4,1750.68,7836.16,6085.48,3190.96,4941.64,0,2,0,1,3,0,4,27,1,0,0.2233819393759984,22.338193937599847,-1750.6800000000003,1750.6800000000003,1,1
12,5,8426.23,16216.96,7790.73,18576.06,27002.29,0,1,2,1,1,3,7,13,5,0,0.5195616464709495,51.95616464709495,-8426.23,8426.23,1,1
16,2,1398.31,12500.72,11102.41,8794.16,10192.47,0,2,2,0,3,4,15,21,4,1,0.1118494095212498,11.184940952124988,-1398.3099999999995,1398.3099999999995,1,1
1,3,2978.08,11479.08,14457.16,13234.73,16212.81,0,3,1,2,3,4,18,8,7,0,0.2594128263914537,25.94128263914537,2978.08,2978.08,1,1
9,5,1732.25,12419.07,10686.82,1441.83,3174.08,0,2,2,2,1,0,12,6,2,1,0.1394718387255466,13.947183872554664,-1732.25,1732.25,1,1
5,5,8740.27,1404.99,-7335.280000000001,8708.54,17448.81,0,3,2,0,3,3,1,25,1,0,6.21645246410003,621.645246410003,-8740.27,8740.27,1,1
6,3,1888.39,17362.61,19251.0,4416.62,6305.01,0,3,0,2,2,3,3,23,5,0,0.108755610152497,10.875561015249708,1888.3899999999996,1888.3900000000003,1,1
11,2,2325.84,14927.68,12601.84,14790.07,17115.91,0,1,1,2,1,3,20,10,5,0,0.1557967616694845,15.579676166948452,-2325.84,2325.84,1,1
2,5,4364.78,1243.44,-3121.34,4245.15,8609.93,0,3,1,2,2,3,16,19,4,1,3.5074250265179514,350.7425026517951,-4364.780000000001,4364.780000000001,1,1
23,3,5935.81,19317.66,25253.47,5000.69,10936.5,0,3,0,1,0,0,0,9,4,0,0.307257853287961,30.7257853287961,5935.810000000001,5935.81,1,0
2,2,3371.66,4223.61,851.9499999999998,5761.1,9132.76,0,3,1,0,0,1,5,28,2,0,0.7980997062450735,79.80997062450736,-3371.66,3371.66,1,0
20,5,3455.05,15228.43,11773.38,7674.87,11129.92,0,3,2,2,3,4,22,28,6,0,0.2268666653971947,22.68666653971948,-3455.050000000001,3455.05,1,1
19,4,549.61,9983.06,9433.45,16023.35,16572.96,0,2,0,1,3,3,14,19,5,1,0.0550487477038399,5.504874770383992,-549.6099999999988,549.6099999999988,1,1
28,5,4921.64,7153.1,2231.46,8410.24,13331.88,0,0,1,2,2,3,0,11,3,0,0.6879467717812163,68.79467717812163,-4921.64,4921.639999999999,1,1
24,1,5724.05,7035.62,1311.5699999999997,18617.21,12893.16,0,1,0,2,1,0,1,14,1,0,0.8134658401334732,81.34658401334733,-5724.05,-5724.049999999999,1,1
4,2,1327.44,10195.49,8868.05,2268.78,3596.2200000000003,0,3,0,1,3,1,5,16,3,0,0.1301859757622476,13.01859757622476,-1327.4400000000005,1327.44,1,1
12,2,4955.92,2823.72,-2132.2000000000003,602.63,5558.55,0,1,0,2,2,4,11,5,2,1,1.754481860148971,175.44818601489706,-4955.92,4955.92,1,1
14,1,2228.25,10183.71,7955.459999999999,15560.37,13332.12,0,1,2,1,3,1,19,8,1,0,0.2187838436244134,21.87838436244135,-2228.25,-2228.25,1,1
3,5,8302.6,13119.67,4817.07,7669.7,15972.3,0,3,2,1,1,0,4,3,6,0,0.6327878073299611,63.27878073299611,-8302.6,8302.599999999999,1,1
22,2,5883.17,14228.33,8345.16,9105.85,14989.02,0,2,1,0,0,1,7,29,1,0,0.4134537606479012,41.34537606479012,-5883.17,5883.17,1,0
26,3,9515.18,13277.26,22792.44,14406.58,23921.76,0,1,0,2,2,0,22,5,1,0,0.7165984097313955,71.65984097313955,9515.179999999998,9515.179999999998,1,1
3,4,9148.63,6530.11,-2618.5199999999995,12668.09,21816.72,0,0,2,2,2,4,21,10,3,0,1.4007772032625387,140.07772032625388,-9148.63,9148.63,1,1
9,3,381.07,2284.97,2666.04,2580.47,2961.54,0,1,0,2,3,3,10,18,4,1,0.1666994754961789,16.669947549617888,381.07000000000016,381.07000000000016,1,1
27,5,2799.15,13057.04,10257.89,12660.13,15459.28,0,2,2,0,1,2,5,7,2,0,0.2143621860554876,21.436218605548767,-2799.150000000001,2799.150000000001,1,1
12,3,5406.36,15733.91,21140.27,5249.38,10655.74,0,2,2,2,2,1,17,22,1,1,0.3435901444622181,34.359014446221806,5406.360000000001,5406.36,1,1
29,5,9266.4,12147.75,2881.3500000000004,8368.23,17634.629999999997,0,2,2,0,2,0,19,2,2,0,0.762745138388723,76.27451383887231,-9266.4,9266.399999999998,1,1
27,4,5958.25,4164.43,-1793.8199999999997,6497.37,12455.62,0,3,0,0,1,0,22,6,2,0,1.4304045440686797,143.04045440686795,-5958.25,5958.250000000001,1,1
23,3,7145.99,16705.07,23851.06,17295.13,24441.120000000003,0,3,0,1,3,2,16,21,4,1,0.4277481178996616,42.77481178996616,7145.990000000002,7145.990000000002,1,1
5,3,8190.33,1879.88,10070.21,11018.31,19208.64,0,2,1,0,2,0,12,2,3,1,4.35452022457573,435.452022457573,8190.329999999999,8190.33,1,1
28,5,1228.9,5317.37,4088.47,8785.57,10014.47,0,1,2,0,0,0,17,20,2,1,0.2310670374569652,23.10670374569652,-1228.9,1228.8999999999996,1,0
6,4,1857.92,15127.41,13269.49,13048.83,14906.75,0,1,0,0,1,4,19,5,3,0,0.1228099978781643,12.280999787816434,-1857.92,1857.92,1,1
7,1,793.85,5405.58,4611.73,12995.06,12201.21,0,1,1,2,0,0,2,30,3,0,0.1468303437662995,14.683034376629958,-793.8500000000004,-793.8500000000004,1,0
11,4,7393.62,1272.79,-6120.83,8943.29,16336.91,0,0,1,0,0,3,4,9,2,0,5.804426161298173,580.4426161298173,-7393.62,7393.619999999999,1,0
8,1,9155.7,9509.53,353.8299999999999,1249.32,-7906.380000000001,0,1,1,0,2,0,13,31,3,1,0.9626908279559604,96.26908279559603,-9155.7,-9155.7,1,1
17,3,1791.05,1979.86,3770.91,3504.64,5295.69,0,3,0,1,0,1,17,3,7,1,0.9041779833001828,90.41779833001829,1791.05,1791.0499999999995,1,0
6,1,6882.43,18955.88,12073.45,1731.75,-5150.68,0,2,0,2,1,2,14,11,1,1,0.3630571064436764,36.30571064436764,-6882.43,-6882.43,1,1
10,5,2121.53,18376.74,16255.21,8707.46,10828.99,0,3,1,1,2,4,22,23,6,0,0.1154402010258062,11.544020102580625,-2121.5300000000025,2121.5300000000007,1,1
22,5,9178.42,12649.23,3470.8099999999995,4172.75,13351.17,0,0,1,2,0,1,15,20,6,1,0.7255536065352172,72.55536065352172,-9178.42,9178.42,1,0
26,3,4517.61,4739.24,9256.85,19707.19,24224.8,0,3,2,2,1,0,23,4,7,0,0.953034023593742,95.30340235937422,4517.610000000001,4517.610000000001,1,1
28,5,9662.71,17648.49,7985.780000000002,19629.67,29292.38,0,1,2,0,3,3,11,13,4,1,0.5474781424279114,54.74781424279114,-9662.71,9662.710000000005,1,1
19,5,6782.71,14365.04,7582.330000000001,4921.24,11703.95,0,0,1,1,0,4,11,9,7,1,0.4721349794376181,47.21349794376181,-6782.71,6782.710000000001,1,0
3,2,6100.38,5392.84,-707.54,2999.17,9099.55,0,0,0,0,3,2,17,15,1,1,1.1309901665603723,113.09901665603724,-6100.38,6100.379999999999,1,1
10,5,3954.65,4092.76,138.11000000000013,5517.33,9471.98,0,1,2,1,3,1,12,13,4,1,0.9660190143046978,96.60190143046978,-3954.65,3954.65,1,1
11,5,2349.19,6886.08,4536.889999999999,9923.55,12272.74,0,0,2,2,0,3,3,13,7,0,0.3411010181383112,34.110101813831115,-2349.1900000000005,2349.1900000000005,1,0
30,3,8798.45,17843.88,26642.33,4168.63,12967.080000000002,0,1,0,2,0,4,11,22,3,1,0.4930517885242154,49.30517885242154,8798.45,8798.45,1,0
16,3,7187.43,5663.09,12850.52,5923.45,13110.88,0,2,1,2,1,3,13,28,4,1,1.268946997664232,126.8946997664232,7187.43,7187.429999999999,1,1
19,2,3154.37,4108.44,954.0699999999996,15623.07,18777.44,0,3,1,1,0,2,0,15,6,0,0.7675912046410217,76.75912046410217,-3154.37,3154.369999999999,1,0
12,5,8817.1,6614.08,-2203.0200000000004,14629.26,23446.36,0,1,1,2,0,0,7,23,5,0,1.3328788162803775,133.28788162803775,-8817.1,8817.1,1,0
16,3,7846.57,14427.51,22274.08,2675.0,10521.57,0,2,2,1,3,3,5,27,6,0,0.5438239984586073,54.38239984586073,7846.5700000000015,7846.57,1,1
20,3,3087.98,6775.11,9863.09,10012.46,13100.44,0,1,2,0,1,1,6,10,1,0,0.4557157425130348,45.57157425130348,3087.9800000000005,3087.9800000000014,1,1
22,1,1528.71,10438.99,8910.279999999999,16055.35,14526.64,0,1,2,0,2,0,6,6,5,0,0.1464283011765337,14.642830117653368,-1528.710000000001,-1528.710000000001,1,1
11,1,7607.94,745.86,-6862.08,2917.33,-4690.61,0,2,2,0,3,1,18,19,4,0,10.18656776370404,1018.656776370404,-7607.94,-7607.94,1,1
17,4,8435.54,17403.09,8967.55,11121.35,19556.89,0,1,2,0,2,3,4,14,4,0,0.4846872200729828,48.46872200729829,-8435.54,8435.539999999999,1,1
4,1,4971.7,11374.82,6403.12,14992.77,10021.07,0,3,0,2,0,3,15,10,6,1,0.4370410220977477,43.70410220977477,-4971.7,-4971.700000000001,1,0
4,5,7441.48,9501.81,2060.33,18700.55,26142.03,0,3,1,0,2,0,20,25,3,0,0.7830820567810994,78.30820567810994,-7441.48,7441.48,1,1
18,1,268.31,2863.56,2595.25,17631.97,17363.66,0,3,0,0,1,3,7,22,3,0,0.09366534476499,9.366534476499009,-268.30999999999995,-268.3100000000013,1,1
14,1,3109.94,19488.23,16378.29,799.28,-2310.66,0,3,1,1,1,4,10,5,5,1,0.1595722355372685,15.957223553726854,-3109.9399999999987,-3109.94,1,1
25,4,5361.61,12545.38,7183.77,4035.38,9396.99,0,3,2,1,0,1,12,5,1,1,0.4273431858432472,42.73431858432472,-5361.609999999999,5361.61,1,0
26,5,4362.66,10257.54,5894.880000000001,3554.72,7917.379999999999,0,2,2,2,1,0,9,24,1,1,0.4252710424680315,42.52710424680315,-4362.66,4362.66,1,1
22,2,579.6,15986.95,15407.35,48.13,627.73,0,1,2,0,1,2,18,8,2,0,0.0362523025153318,3.625230251533186,-579.6000000000004,579.6,1,1
18,2,3787.26,15515.51,11728.25,5271.12,9058.38,0,0,1,2,0,3,3,29,1,0,0.244079370941017,24.407937094101705,-3787.26,3787.2599999999993,1,0
15,3,3744.77,11829.03,15573.8,11133.18,14877.95,0,3,2,0,2,4,20,25,1,0,0.3165478024992328,31.654780249923288,3744.769999999999,3744.77,1,1
8,4,1651.6,6943.22,5291.620000000001,3597.06,5248.66,0,0,2,2,0,2,15,21,4,1,0.2378380869269694,23.783808692696944,-1651.5999999999997,1651.6,1,0
2,3,3143.29,11947.86,15091.15,2506.52,5649.81,0,1,2,1,0,3,8,17,4,0,0.263061915530017,26.306191553001707,3143.289999999999,3143.2900000000004,1,0
9,5,5221.29,1620.46,-3600.83,19137.14,24358.43,0,1,1,1,3,2,13,16,4,1,3.220116438271681,322.0116438271681,-5221.29,5221.290000000001,1,1
26,2,696.92,9175.82,8478.9,6867.33,7564.25,0,0,2,1,2,4,16,22,4,1,0.0759435185608958,7.594351856089582,-696.9200000000001,696.9200000000001,1,1
