Type,Amount,oldBal,newBal,oldBalDest,newBalDest,isFraud,DeviceType,Browser,Geolocation,Hour,Day,Month,IsBusinessHours,NormalizedAmount,AmountPercentage,OriginBalanceChange,DestBalanceChange,BalanceDifference,IsCommonDevice,IsCommonBrowser
4,777.49,9538.75,8761.26,8737.04,9514.53,0,1,1,2,2,25,2,0,0.08150003930920621,8.15000393092062,-777.4899999999998,777.4899999999998,1554.9799999999996,1,1
5,5630.67,10801.66,5170.99,4936.42,10567.09,0,1,1,1,2,24,4,0,0.5212299563255717,52.12299563255717,-5630.67,5630.67,11261.34,1,1
4,15.51,9526.31,9510.8,17079.55,17095.059999999998,0,2,0,1,20,4,3,0,0.0016279516463723759,0.1627951646372376,-15.510000000000218,15.5099999999984,31.019999999998618,1,1
2,269.54,7174.86,6905.32,2227.82,2497.36,0,1,2,2,6,9,3,0,0.03756204831197933,3.756204831197933,-269.53999999999996,269.53999999999996,539.0799999999999,1,0
1,9199.68,3246.25,-5953.43,1990.54,-7209.14,1,2,2,3,6,23,1,0,2.8330679805989685,283.30679805989683,-9199.68,-9199.68,0.0,1,0
3,2494.51,4380.1,6874.610000000001,977.3,3471.8100000000004,1,1,3,1,4,21,4,0,0.5693798361142179,56.93798361142179,2494.51,2494.51,0.0,1,1
1,1973.48,9336.18,7362.700000000001,8356.01,6382.530000000001,1,1,0,1,16,25,3,1,0.21135717636374152,21.135717636374153,-1973.4799999999996,-1973.4799999999996,0.0,1,1
3,4140.8,17115.85,21256.65,1482.54,5623.34,0,1,0,2,4,9,4,0,0.24191366986332186,24.191366986332184,4140.800000000003,4140.8,2.7284841053187847e-12,1,1
1,5098.66,18086.3,12987.64,6013.92,915.2600000000002,1,0,0,1,11,12,4,1,0.28189171407562214,28.189171407562213,-5098.66,-5098.66,0.0,1,1
1,498.17,15374.99,14876.82,4329.32,3831.15,1,2,2,0,7,29,2,0,0.03239921461967652,3.239921461967652,-498.1700000000001,-498.1699999999996,4.547473508864641e-13,1,0
1,1494.33,8556.74,7062.41,9648.34,8154.01,1,0,2,2,1,11,2,0,0.17461736393019653,17.461736393019653,-1494.33,-1494.33,0.0,1,0
4,5986.31,9577.18,3590.87,10131.29,16117.600000000002,0,0,0,2,11,14,1,1,0.6249945187916702,62.499451879167026,-5986.31,5986.310000000001,11972.620000000003,1,1
4,7782.4,15239.12,7456.720000000001,1354.84,9137.24,0,2,0,0,1,14,6,0,0.5106521470959545,51.06521470959545,-7782.4,7782.4,15564.8,1,1
3,7821.74,5815.94,13637.68,15759.79,23581.53,0,1,1,1,6,20,1,0,1.344648560927223,134.4648560927223,7821.740000000001,7821.739999999998,2.7284841053187847e-12,1,1
5,3343.34,14069.5,10726.16,4967.4,8310.74,0,1,0,1,11,5,7,1,0.2376134465726165,23.76134465726165,-3343.34,3343.34,6686.68,1,1
2,7458.7,7813.52,354.8200000000006,11977.47,19436.17,0,1,2,4,16,19,4,1,0.9544668130608149,95.44668130608149,-7458.7,7458.699999999999,14917.399999999998,1,0
1,1301.9,3698.63,2396.73,15977.39,14675.49,0,2,1,3,22,6,2,0,0.3519000548703519,35.190005487035194,-1301.9,-1301.8999999999996,4.547473508864641e-13,1,1
4,851.21,6757.63,5906.42,17592.88,18444.09,0,2,1,0,22,19,6,0,0.1259441632401833,12.59441632401833,-851.21,851.2099999999991,1702.4199999999992,1,1
3,8118.74,14822.21,22940.95,19455.82,27574.56,1,1,0,3,0,9,2,0,0.5477045795074077,54.77045795074077,8118.740000000002,8118.740000000002,0.0,1,1
4,4982.84,3088.21,-1894.63,941.69,5924.530000000001,0,0,3,4,2,22,7,0,1.6129819597890722,161.29819597890722,-4982.84,4982.84,9965.68,1,1
2,4783.54,16518.83,11735.29,18640.54,23424.08,0,0,1,1,9,16,5,1,0.2895635124574526,28.95635124574526,-4783.540000000001,4783.540000000001,9567.080000000002,1,1
5,2585.14,3995.33,1410.19,12873.08,15458.22,0,0,0,2,4,10,2,0,0.6468785110338735,64.68785110338735,-2585.14,2585.1399999999994,5170.279999999999,1,1
4,1454.42,18027.6,16573.18,12113.3,13567.72,0,1,0,0,11,25,7,1,0.08067293078774837,8.067293078774837,-1454.4199999999983,1454.42,2908.8399999999983,1,1
1,2907.5,1921.48,-986.02,13899.2,10991.7,1,1,3,2,15,11,7,1,1.5123694394740128,151.23694394740127,-2907.5,-2907.5,0.0,1,1
5,183.91,19172.71,18988.8,1522.55,1706.46,0,2,2,3,17,28,4,1,0.009591779577348358,0.9591779577348358,-183.90999999999985,183.91000000000008,367.81999999999994,1,0
5,7136.54,8064.05,927.5100000000002,11304.39,18440.93,0,0,0,3,10,27,3,1,0.8848723814483481,88.4872381448348,-7136.54,7136.540000000001,14273.080000000002,1,1
5,6825.3,9664.64,2839.3399999999992,5227.85,12053.15,0,1,1,0,22,19,3,0,0.7061405142339255,70.61405142339255,-6825.3,6825.299999999999,13650.599999999999,1,1
2,6304.67,12137.33,5832.66,16900.8,23205.47,0,1,3,1,14,24,2,1,0.5194017628454656,51.94017628454656,-6304.67,6304.670000000002,12609.340000000002,1,1
3,203.27,889.08,1092.35,17043.29,17246.56,0,1,0,2,5,1,3,0,0.22837273054107496,22.837273054107495,203.26999999999987,203.27000000000044,5.684341886080801e-13,1,1
1,483.06,13999.59,13516.53,2711.78,2228.7200000000003,0,2,1,2,13,8,2,1,0.034502831666379775,3.4502831666379774,-483.0599999999995,-483.05999999999995,4.547473508864641e-13,1,1
1,8594.02,17729.63,9135.61,12901.19,4307.17,1,0,0,2,1,18,3,0,0.4846990772465502,48.46990772465502,-8594.02,-8594.02,0.0,1,1
2,4078.08,18314.33,14236.250000000002,10931.3,15009.38,0,2,2,2,1,26,6,0,0.22265937878269185,22.265937878269185,-4078.08,4078.08,8156.16,1,0
4,7858.01,15098.01,7240.0,1461.92,9319.93,0,2,0,2,22,23,1,0,0.5204321342922483,52.043213429224835,-7858.01,7858.01,15716.02,1,1
2,662.17,4048.71,3386.54,1211.39,1873.56,0,1,3,1,21,13,5,0,0.16351047358946688,16.351047358946687,-662.1700000000001,662.1699999999998,1324.34,1,1
4,9962.27,17098.42,7136.149999999998,907.07,10869.34,0,2,1,3,19,10,1,0,0.5826086498840313,58.26086498840313,-9962.27,9962.27,19924.54,1,1
2,142.12,14505.62,14363.5,6730.2,6872.32,0,0,3,3,22,3,7,0,0.009796906515783828,0.9796906515783829,-142.1200000000008,142.1199999999999,284.2400000000007,1,1
2,4237.49,19469.05,15231.56,4242.58,8480.07,0,1,1,4,0,18,2,0,0.21764145443899732,21.764145443899732,-4237.49,4237.49,8474.98,1,1
4,2001.59,11745.54,9743.95,4452.49,6454.08,0,1,3,0,21,18,4,0,0.17039826195628668,17.039826195628667,-2001.5900000000001,2001.5900000000001,4003.1800000000003,1,1
5,750.91,7235.82,6484.91,4281.9,5032.81,0,1,2,1,23,18,6,0,0.1037624260379559,10.376242603795589,-750.9099999999999,750.9100000000008,1501.8200000000006,1,0
5,1011.2,502.63,-508.5700000000001,10421.05,11432.25,0,2,1,4,2,6,1,0,2.007823203542283,200.78232035422832,-1011.2,1011.2000000000007,2022.4000000000008,1,1
1,1341.17,13803.17,12462.0,14001.8,12660.63,1,0,0,1,22,12,7,0,0.09715687361137976,9.715687361137975,-1341.17,-1341.17,0.0,1,1
4,3443.78,18746.36,15302.58,10631.63,14075.41,0,0,2,4,4,30,1,0,0.18369413080028335,18.369413080028334,-3443.7800000000007,3443.7800000000007,6887.560000000001,1,0
5,5989.97,17764.86,11774.89,10588.33,16578.3,0,0,2,1,23,15,1,0,0.3371618373667247,33.71618373667247,-5989.970000000001,5989.969999999999,11979.94,1,0
4,1054.23,14547.7,13493.47,13016.99,14071.22,0,2,2,2,11,14,7,1,0.07246214438403431,7.246214438403431,-1054.2300000000014,1054.2299999999996,2108.460000000001,1,0
5,9970.35,13777.74,3807.39,11133.98,21104.33,0,0,3,2,10,10,1,1,0.723603899921183,72.3603899921183,-9970.35,9970.350000000002,19940.700000000004,1,1
3,4615.66,3325.06,7940.719999999999,18767.41,23383.07,1,0,2,0,13,24,4,1,1.3877260181716504,138.77260181716505,4615.66,4615.66,0.0,1,0
5,5210.59,589.24,-4621.35,9325.03,14535.62,0,1,1,2,7,7,3,0,8.827917457305503,882.7917457305502,-5210.59,5210.59,10421.18,1,1
3,551.88,11608.76,12160.64,5245.54,5797.42,0,1,3,4,7,26,2,0,0.0475358663744987,4.75358663744987,551.8799999999992,551.8800000000001,9.094947017729282e-13,1,1
3,8060.13,15674.35,23734.48,8298.7,16358.830000000002,0,2,3,2,21,5,3,0,0.5141913896659405,51.41913896659405,8060.129999999999,8060.130000000001,1.8189894035458565e-12,1,1
4,7840.43,3120.11,-4720.32,3350.19,11190.62,0,0,1,1,14,3,1,1,2.512064618036532,251.20646180365318,-7840.43,7840.43,15680.86,1,1
2,1317.38,9558.11,8240.73,3415.37,4732.75,0,2,3,4,15,14,1,1,0.1378140852024927,13.781408520249268,-1317.380000000001,1317.38,2634.760000000001,1,1
1,8753.25,18770.18,10016.93,11011.62,2258.370000000001,1,0,3,0,7,19,7,0,0.4663132525499196,46.631325254991964,-8753.25,-8753.25,0.0,1,1
5,7821.32,6206.19,-1615.13,18776.38,26597.7,0,1,2,2,13,27,3,1,1.2600419835706658,126.00419835706657,-7821.32,7821.32,15642.64,1,0
5,5772.91,6141.88,368.97000000000025,7381.41,13154.32,0,1,1,1,19,30,3,0,0.9397725496835361,93.9772549683536,-5772.91,5772.91,11545.82,1,1
3,3917.84,2080.79,5998.63,3890.58,7808.42,1,0,2,2,23,21,6,0,1.8819573540078491,188.1957354007849,3917.84,3917.84,0.0,1,0
3,2915.85,17309.62,20225.47,6548.97,9464.82,0,1,1,0,20,7,3,0,0.16844284029110454,16.844284029110455,2915.850000000002,2915.8499999999995,2.7284841053187847e-12,1,1
5,4218.54,13438.36,9219.82,1888.87,6107.41,0,0,1,3,18,2,4,0,0.31389441163864945,31.389441163864944,-4218.540000000001,4218.54,8437.080000000002,1,1
3,4169.68,19907.32,24077.0,13264.18,17433.86,1,0,3,4,23,21,7,0,0.20944409171642814,20.944409171642814,4169.68,4169.68,0.0,1,1
3,8172.6,298.32,8470.92,16218.87,24391.47,1,0,1,4,11,21,3,1,27.303888814646534,2730.3888814646534,8172.6,8172.6,0.0,1,1
2,2961.88,11225.06,8263.18,9188.73,12150.61,0,0,2,1,13,25,3,1,0.2638396730464651,26.38396730464651,-2961.879999999999,2961.880000000001,5923.76,1,0
1,9661.94,19168.78,9506.839999999998,12668.44,3006.5,1,1,1,1,19,30,4,0,0.5040193471182247,50.40193471182247,-9661.94,-9661.94,0.0,1,1
4,7207.39,12651.53,5444.14,11391.0,18598.39,0,2,2,3,13,11,5,1,0.5696402221531978,56.96402221531977,-7207.39,7207.389999999999,14414.779999999999,1,0
2,9253.07,15912.17,6659.1,17020.56,26273.63,0,0,1,2,17,8,2,1,0.5814724533201115,58.14724533201115,-9253.07,9253.07,18506.14,1,1
5,8674.82,16633.97,7959.1500000000015,10778.02,19452.84,0,2,2,1,0,20,4,0,0.5214809524754177,52.14809524754177,-8674.82,8674.82,17349.64,1,0
2,2653.34,11594.32,8940.98,3683.05,6336.39,0,2,3,4,6,20,5,0,0.22882852737138779,22.88285273713878,-2653.34,2653.34,5306.68,1,1
4,3127.94,16924.47,13796.53,9414.89,12542.83,0,1,2,3,14,27,4,1,0.18480668483652152,18.480668483652153,-3127.9400000000005,3127.9400000000005,6255.880000000001,1,0
2,3212.55,11056.89,7844.339999999999,5891.08,9103.63,0,2,1,0,21,14,3,0,0.29052106685814383,29.052106685814383,-3212.55,3212.5499999999993,6425.099999999999,1,1
3,6442.01,19122.71,25564.72,13299.71,19741.72,1,1,2,4,3,3,2,0,0.33685984570985444,33.68598457098545,6442.010000000002,6442.010000000002,0.0,1,0
2,4564.57,7616.15,3051.58,11037.58,15602.15,0,1,3,3,11,16,5,1,0.5992490629697459,59.92490629697459,-4564.57,4564.57,9129.14,1,1
4,3768.61,7793.2,4024.59,16729.71,20498.32,0,0,2,0,20,21,3,0,0.4835146647507121,48.351466475071206,-3768.6099999999997,3768.6100000000006,7537.22,1,0
1,9521.56,10627.4,1105.84,7380.63,-2140.9299999999994,1,0,0,4,23,14,6,0,0.8958601482819615,89.58601482819614,-9521.56,-9521.56,0.0,1,1
2,1829.22,511.21,-1318.01,7127.37,8956.59,0,1,3,3,18,9,2,0,3.571230549969739,357.1230549969739,-1829.22,1829.2200000000003,3658.4400000000005,1,1
2,5601.66,14506.35,8904.69,14410.35,20012.01,0,2,2,2,23,18,2,0,0.3861256535480291,38.61256535480291,-5601.66,5601.659999999998,11203.319999999998,1,0
3,9079.95,5755.19,14835.14,11278.94,20358.89,0,0,1,0,19,10,2,0,1.5774236083242563,157.74236083242562,9079.95,9079.949999999999,1.8189894035458565e-12,1,1
4,2061.15,19899.64,17838.489999999998,14092.05,16153.2,0,2,3,0,21,5,1,0,0.10357204592415119,10.357204592415119,-2061.1500000000015,2061.1500000000015,4122.300000000003,1,1
4,9975.88,9229.26,-746.619999999999,16407.82,26383.7,0,1,3,3,5,9,7,0,1.0807799563609257,108.07799563609257,-9975.88,9975.880000000001,19951.760000000002,1,1
5,4742.53,750.22,-3992.31,131.31,4873.84,0,2,1,0,20,20,2,0,6.313104017464923,631.3104017464923,-4742.53,4742.53,9485.06,1,1
5,1327.58,7241.72,5914.14,9966.57,11294.15,0,2,1,4,1,3,7,0,0.1832985397751121,18.32985397751121,-1327.58,1327.58,2655.16,1,1
4,2468.19,8727.69,6259.5,6205.83,8674.02,0,0,2,3,20,15,6,0,0.28276751723339927,28.276751723339927,-2468.1900000000005,2468.1900000000005,4936.380000000001,1,0
5,7859.21,2596.34,-5262.87,19269.51,27128.72,0,2,3,0,2,24,1,0,3.02586877343744,302.586877343744,-7859.21,7859.210000000003,15718.420000000002,1,1
4,6219.04,852.4,-5366.64,10784.32,17003.36,0,1,0,4,6,31,1,0,7.2873681743613785,728.7368174361378,-6219.04,6219.040000000001,12438.080000000002,1,1
1,5411.06,15030.29,9619.23,5097.65,-313.4100000000008,0,1,1,0,12,6,2,1,0.3599864016993884,35.99864016993884,-5411.060000000001,-5411.06,9.094947017729282e-13,1,1
4,3511.58,2404.8,-1106.7799999999995,9038.62,12550.2,0,0,0,0,3,11,2,0,1.4596308920109733,145.96308920109732,-3511.58,3511.58,7023.16,1,1
3,5766.41,670.07,6436.48,17184.59,22951.0,1,0,0,1,8,2,7,0,8.592859165213762,859.2859165213762,5766.41,5766.41,0.0,1,1
2,1018.9,8312.53,7293.630000000001,2002.46,3021.36,0,1,3,1,14,8,6,1,0.12255924980122762,12.255924980122762,-1018.8999999999996,1018.9000000000001,2037.7999999999997,1,1
5,1989.79,18142.44,16152.649999999998,12648.98,14638.77,0,1,2,4,0,27,2,0,0.10966994131212163,10.966994131212163,-1989.7900000000009,1989.7900000000009,3979.5800000000017,1,0
1,716.25,19747.74,19031.49,3301.47,2585.22,1,0,2,2,4,29,2,0,0.036268136600107144,3.6268136600107144,-716.25,-716.25,0.0,1,0
1,6889.93,7659.84,769.9099999999999,13849.9,6959.969999999999,1,1,3,1,13,14,4,1,0.899370042971789,89.9370042971789,-6889.93,-6889.93,0.0,1,1
2,7781.32,16552.59,8771.27,358.63,8139.95,0,0,2,4,19,4,1,0,0.47006842624469974,47.006842624469975,-7781.32,7781.32,15562.64,1,0
3,4526.53,3025.48,7552.01,15139.71,19666.24,0,2,3,4,6,5,1,0,1.4956418016970208,149.56418016970207,4526.530000000001,4526.5300000000025,1.8189894035458565e-12,1,1
4,8813.55,13458.59,4645.040000000001,8916.82,17730.37,0,2,1,2,10,1,2,1,0.6548156370290625,65.48156370290626,-8813.55,8813.55,17627.1,1,1
4,5383.27,3257.97,-2125.3000000000006,5800.7,11183.97,0,0,1,1,22,15,5,0,1.6518317137009548,165.1831713700955,-5383.27,5383.2699999999995,10766.54,1,1
1,826.33,4524.53,3698.2,12116.19,11289.86,1,2,0,3,11,5,4,1,0.18259297806002836,18.259297806002834,-826.3299999999999,-826.3299999999999,0.0,1,1
3,6407.14,5888.42,12295.56,8448.23,14855.37,0,0,3,2,1,30,4,0,1.087906788783955,108.79067887839551,6407.139999999999,6407.140000000001,1.8189894035458565e-12,1,1
4,4726.12,8197.68,3471.5600000000004,5537.6,10263.72,0,0,3,0,18,12,1,0,0.5764488917728219,57.64488917728219,-4726.12,4726.119999999999,9452.239999999998,1,1
4,6783.72,5904.62,-879.1000000000004,9458.02,16241.740000000002,0,0,1,4,6,14,1,0,1.1486888760197913,114.86888760197913,-6783.72,6783.720000000001,13567.440000000002,1,1
3,6218.54,4775.25,10993.79,11467.6,17686.14,0,2,0,3,5,4,3,0,1.3019712117246793,130.19712117246794,6218.540000000001,6218.539999999999,1.8189894035458565e-12,1,1
2,7474.58,6199.57,-1275.0100000000002,920.26,8394.84,0,0,3,3,4,14,2,0,1.2054665942002107,120.54665942002107,-7474.58,7474.58,14949.16,1,1
1,6704.51,13415.49,6710.98,1785.34,-4919.17,1,0,3,1,4,21,2,0,0.49972161124109216,49.97216112410921,-6704.51,-6704.51,0.0,1,1
1,3940.54,7312.87,3372.33,16841.62,12901.079999999998,0,1,2,2,17,29,5,1,0.5387763249825331,53.87763249825331,-3940.54,-3940.540000000001,9.094947017729282e-13,1,0
4,653.95,11519.58,10865.63,11459.46,12113.41,0,1,0,0,18,29,3,0,0.056763635164201805,5.676363516420181,-653.9500000000007,653.9500000000007,1307.9000000000015,1,1
3,6250.97,2653.98,8904.95,1664.55,7915.52,0,1,0,4,1,17,4,0,2.3544320484523427,235.44320484523428,6250.970000000001,6250.97,9.094947017729282e-13,1,1
1,1247.53,14890.18,13642.65,2159.11,911.5800000000002,0,0,2,1,9,30,3,1,0.08377643679009991,8.37764367900999,-1247.5300000000007,-1247.53,6.821210263296962e-13,1,0
2,3255.07,6237.5,2982.43,766.03,4021.1,0,0,3,1,1,21,2,0,0.5217712591167749,52.17712591167749,-3255.07,3255.0699999999997,6510.139999999999,1,1
4,3049.9,579.92,-2469.98,9991.02,13040.92,0,1,1,3,6,20,2,0,5.25012049851959,525.012049851959,-3049.9,3049.8999999999996,6099.799999999999,1,1
2,7837.74,926.35,-6911.389999999999,7586.67,15424.41,0,1,0,4,9,10,6,1,8.45176039251631,845.176039251631,-7837.74,7837.74,15675.48,1,1
3,9709.43,10523.63,20233.06,15161.65,24871.08,0,0,1,1,0,19,4,0,0.9225435953567965,92.25435953567965,9709.430000000002,9709.430000000002,0.0,1,1
2,7806.35,10822.63,3016.279999999999,5638.38,13444.73,0,0,0,3,6,22,7,0,0.72123215594029,72.123215594029,-7806.35,7806.349999999999,15612.7,1,1
1,1954.06,16833.02,14878.96,250.1,-1703.96,0,1,1,1,17,24,3,1,0.11607803721273943,11.607803721273942,-1954.0600000000013,-1954.06,1.3642420526593924e-12,1,1
4,4097.74,18523.19,14425.45,12369.38,16467.12,0,2,0,4,15,30,3,1,0.22121021216042375,22.121021216042376,-4097.739999999998,4097.74,8195.479999999998,1,1
5,8139.3,4587.17,-3552.13,1330.16,9469.46,0,2,1,3,9,23,5,1,1.7739752450323332,177.3975245032333,-8139.3,8139.299999999999,16278.599999999999,1,1
3,9439.08,18307.34,27746.42,13513.05,22952.13,1,2,2,4,17,1,5,1,0.5155617603780572,51.55617603780572,9439.079999999998,9439.080000000002,3.637978807091713e-12,1,0
2,4476.49,18600.67,14124.179999999998,9588.84,14065.33,0,0,1,2,16,10,4,1,0.24064989863813305,24.064989863813306,-4476.49,4476.49,8952.98,1,1
5,2529.26,17629.17,15099.909999999998,4496.22,7025.4800000000005,0,0,1,2,21,16,2,0,0.1434620312793354,14.34620312793354,-2529.26,2529.26,5058.52,1,1
3,3836.04,12822.9,16658.94,3119.22,6955.26,0,0,0,4,17,13,7,1,0.2991320893020064,29.91320893020064,3836.039999999999,3836.0400000000004,1.3642420526593924e-12,1,1
1,4116.43,5497.55,1381.12,2653.72,-1462.7100000000005,1,0,3,3,20,16,7,0,0.7486391866946741,74.86391866946741,-4116.43,-4116.43,0.0,1,1
4,2580.7,2650.79,70.09000000000015,9357.21,11937.91,0,0,3,2,3,10,1,0,0.9731916931582063,97.31916931582063,-2580.7,2580.7000000000007,5161.400000000001,1,1
4,3484.0,10723.6,7239.6,5701.36,9185.36,0,2,0,4,17,22,7,1,0.3248606008615706,32.48606008615706,-3484.0,3484.000000000001,6968.000000000001,1,1
4,2516.85,13962.36,11445.51,10318.19,12835.04,0,0,3,0,22,15,3,0,0.1802467314457265,18.02467314457265,-2516.8500000000004,2516.8500000000004,5033.700000000001,1,1
5,8373.03,13292.85,4919.82,14996.33,23369.36,0,1,0,2,21,7,1,0,0.6298423707202955,62.98423707202955,-8373.03,8373.03,16746.06,1,1
2,7235.15,9561.54,2326.390000000001,7136.27,14371.42,0,1,0,0,7,17,4,0,0.7566138285434622,75.66138285434621,-7235.15,7235.15,14470.3,1,1
1,8786.38,18712.21,9925.83,1425.85,-7360.529999999999,1,2,1,2,5,20,1,0,0.46952821028567515,46.95282102856751,-8786.38,-8786.38,0.0,1,1
1,2146.51,15288.17,13141.66,2895.91,749.3999999999996,1,1,1,0,3,12,4,0,0.14039414827619814,14.039414827619815,-2146.51,-2146.51,0.0,1,1
3,507.0,15795.0,16302.0,9226.79,9733.79,1,0,1,2,16,8,5,1,0.03209673335021524,3.2096733350215243,507.0,507.0,0.0,1,1
3,1377.6,3958.54,5336.139999999999,4865.49,6243.09,0,0,1,3,14,15,2,1,0.3479192027356713,34.79192027356713,1377.5999999999995,1377.6000000000004,9.094947017729282e-13,1,1
1,7593.53,4790.07,-2803.46,13866.78,6273.250000000001,1,1,3,2,19,26,2,0,1.5849340543970345,158.49340543970345,-7593.53,-7593.53,0.0,1,1
